Institute,Name,RollNumber,Branch,StartingYear,CurrentCourses,PastCoursesGrades
IIIT,Sai Gupta,MT22128,CB,2022,OOPD;ML;601;701,601:10;802:8;BML:7;DSA:9;FF:5;702:8;777:8
IIIT,Rahul Kumar,2024387,CSE,2024,801;OOPD;702,ML:8;615:10;BML:8;DSA:5
IIIT,Sarthak Chopra,MT23610,SSH,2023,OOPD;702;BML;ML,702:6;DL:7;615:5;601:6;802:5;602:6
IIIT,Riya Joshi,2023858,CSE,2023,777;802;OOPD;615,701:8;OOPD:9;702:6;777:7
IIIT,Atharv Saxena,MT22175,SSH,2022,701;BML,801:6;ML:8;601:6;615:7;BML:8;DL:8
IIIT,Shaurya Mishra,PhD22686,CB,2022,ML;BML,702:8;601:5;DSA:5;801:10;777:10
IIIT,Neha Pandey,2022118,CB,2022,ML;802;702;601,DSA:5;OOPD:6;BML:9;ML:9
IIIT,Reyansh Saxena,2021753,CB,2021,802;ML,ML:5;802:6;DSA:8;801:7;615:9;OOPD:7
IIIT,Reyansh Rao,MT23209,CSE,2023,601;702,DSA:7;701:8;FF:6;601:6;ML:6;BML:8;777:5
IIIT,Kavya Mishra,MT21205,ECE,2021,FF;BML,DL:5;701:5;702:8;602:5;777:8;DSA:5;615:10
IIIT,Sneha Kapoor,MT22538,SSH,2022,OOPD;802,ML:8;FF:7;BML:6;602:9
IIIT,Sarthak Singh,2023085,ECE,2023,702;ML;615,601:6;802:8;602:5;OOPD:6
IIIT,Vikram Desai,MT24390,CSE,2024,701;615,BML:7;ML:8;601:7;801:9;DL:8
IIIT,Sumit Jain,2022179,CB,2022,BML;777,DL:8;ML:6;615:6;602:8;DSA:5;777:8;FF:7
IIIT,Karan Iyer,MT23209,CB,2023,602;777;DL,DL:5;777:8;601:8;615:6;FF:5;BML:6;802:7
IIIT,Myra Kaur,PhD23867,CSE,2023,615;OOPD;701;DSA,802:7;OOPD:8;DL:10;ML:8;601:7
IIIT,Vivaan Yadav,2022020,ECE,2022,OOPD;602;777;701,601:5;DL:6;602:8;ML:7;BML:6;802:5;801:10;FF:8
IIIT,Sumit Nair,2021257,ECE,2021,702;802;601;DSA,DL:7;DSA:9;801:5;802:5;601:9;602:6;ML:7
IIIT,Rohan Kaur,PhD23565,CB,2023,DL;801;ML;802,601:6;OOPD:7;615:7;FF:8;777:7;BML:6
IIIT,Saanvi Chopra,2021153,CSE,2021,DSA;FF,615:5;701:9;DSA:7;601:6;802:6;BML:6;777:8;DL:6
IIIT,Simran Pandey,MT24787,SSH,2024,702;802,FF:7;702:10;DSA:7;701:9
IIIT,Riya Nair,2022630,SSH,2022,601;DL;702,BML:10;801:5;601:5;702:7;DSA:7;ML:6;701:7;OOPD:6
IIIT,Ananya Khanna,MT22370,CB,2022,OOPD;ML;DL,601:10;777:7;802:6;BML:10;DSA:9
IIIT,Reyansh Kapoor,2022374,SSH,2022,FF;802;ML;702,DL:5;ML:9;702:8;801:7;615:7;OOPD:5;777:5
IIIT,Vikram Chopra,MT23986,CB,2023,602;701;601;DL,FF:8;602:8;777:8;701:6;ML:8;702:5;BML:5;615:5
IIIT,Atharv Patel,2023009,CSE,2023,702;DL;701,OOPD:8;615:7;DSA:8;702:8;802:8;801:7
IIIT,Myra Iyer,MT22187,SSH,2022,802;701;801,777:7;702:10;615:8;DSA:8;ML:7;FF:8;DL:5;601:8
IIIT,Rohan Kapoor,MT22484,ECE,2022,DL;615;777;ML,FF:6;702:7;DL:7;777:8
IIIT,Pari Kapoor,PhD22472,CB,2022,601;OOPD;777;802,OOPD:8;702:5;DL:8;701:5;602:6;802:7;DSA:7
IIIT,Rahul Pandey,2021289,ECE,2021,602;DSA,802:9;DL:7;701:8;601:8;BML:8
IIIT,Anjali Saxena,2023525,SSH,2023,ML;OOPD,801:6;802:7;FF:8;601:7;702:8;OOPD:7;701:5;777:10
IIIT,Neha Agarwal,MT22405,ECE,2022,DSA;601;FF;OOPD,601:6;702:8;602:10;701:10;ML:6;802:9
IIIT,Aditi Nair,2022534,CSE,2022,DSA;702;BML,BML:8;DL:8;777:7;FF:8;OOPD:7
IIIT,Arjun Mishra,MT21270,ECE,2021,777;802,DL:7;615:7;ML:5;601:5;777:5;BML:5;802:9;701:8
IIIT,Reyansh Yadav,MT24100,SSH,2024,DL;OOPD;BML;615,801:6;602:7;701:9;FF:7;DSA:5;615:10
IIIT,Sneha Das,MT24970,CB,2024,FF;602,702:5;602:8;777:5;FF:7;OOPD:8;615:6
IIIT,Arjun Patel,2022950,CB,2022,602;702;801;802,OOPD:7;615:8;701:7;801:10;DSA:5
IIIT,Ayaan Iyer,2022612,ECE,2022,DSA;801,DL:10;701:8;601:6;801:5;802:6;ML:7
